,url
0,http://www.slideshare.net/sk_prince/rural-banking-in-india
1,https://www.ruralbank.com.au/
2,http://www.telegraphindia.com/1161119/jsp/frontpage/story_120058.jsp
3,https://www.axisbank.com/agri-and-rural
4,http://business.mapsofindia.com/rural-economy/development/regional-banks.html
5,http://www.amazon.in/Rural-Banking-Indian-Institute-Finance/dp/0230330509
6,http://www.thehindu.com/business/Industry/internet-access-a-hurdle-to-rural-banking/article9014809.ece
7,https://www.scribd.com/doc/35234544/Rural-Banking
8,http://www.bankexamsindia.com/2012/05/ibps-regional-rural-bank-common-exam.html
9,https://www.icicibank.com/rural/index.page
10,http://indianexpress.com/article/opinion/columns/hdfc-bank-rural-bank-semi-urban-bank-banking-on-bharat-2781266/
11,http://www.thehindubusinessline.com/money-and-banking/postdemonetisation-regional-rural-banks-see-spike-in-jan-dhan-acs-balances/article9398913.ece
12,http://www.firstpost.com/tag/rural-banking
13,http://nirb.org.in/
14,http://www.bankofbaroda.co.in/rur/index.asp
15,http://www.statebankrewardz.com/Rural-Banking.aspx
16,http://www.indianmba.com/Faculty_Column/FC923/fc923.html
17,http://www.hdfcbank.com/personal/products/accounts-and-deposits/rural-accounts
18,https://www.sbi.co.in/portal/web/agriculture-banking/regional-rural-banks
19,http://www.businesstoday.in/magazine/features/rbi-expansion-general-public-helps-take-banking-rural-india/story/200646.html
20,http://www.shareyouressays.com/83898/sample-essay-on-rural-banks-and-their-expansion-in-india
21,http://www.regalix.com/uncategorized/creating-disruption-through-reverse-innovation/
22,http://www.gktoday.in/blog/regional-rural-banks/
23,http://www.mbaskool.com/business-articles/finance/726-rural-banking.html
24,http://economictimes.indiatimes.com/topic/rural-banking
25,http://tejas.iimb.ac.in/articles/74.php
26,https://www.nabard.org/english/rrbs.aspx
27,http://www.gr8ambitionz.com/2012/08/important-points-you-should-know-about.html
28,http://www.idbi.com/agri-banking.asp
29,https://en.wikipedia.org/wiki/Regional_Rural_Bank
30,http://www.business-standard.com/article/finance/sbi-seeks-merger-of-5-rural-banks-in-n-e-116032600039_1.html
31,https://www.thequint.com/currency-ban/2016/11/17/currency-ban-demonetisation-rural-bank-narendra-modi-black-money-rs-500-1000-2000-atm-cash-crunch
32,https://www.ucobank.com/rural-banking/rrb.aspx
33,https://www.axisbank.com/agri-and-rural/microfinance-rural/rural-banking-initiatives
34,http://www.mizoramruralbank.com/
35,http://www.btvi.in/article/read/news/7514/now--a-gyan-sangam-like-event-for-regional-rural-banks
36,http://www.indianeconomy.net/splclassroom/171/what-are-regional-rural-banks-what-are-the-reform-introduced-for-rrbs/
37,https://www.google.co.in/
38,http://www.mangaloreuniversity.ac.in/chair-rural-banking-and-management
39,http://www.spansystems.com/media-room/blogs/posts/2015/may/growth-of-regional-rural-banks-rrbs-in-india/?tag=RRB
40,http://www.indianstatistics.org/rural-banking.html
41,http://www.livemint.com/Industry/QQwlUPKsYS6hpUndDYXDVL/The-cash-withdrawal-currency-exchange-challenge-at-rural-ba.html
42,http://www.apruralbank.com/
43,https://www.rbi.org.in/SCRIPTs/NotificationUser.aspx?Id=10155&Mode=0
44,http://www.meghalayaruralbank.co.in/about-us.html
45,http://www.yourarticlelibrary.com/banking/6-major-problems-faced-by-regional-rural-banks-of-india/26344/
46,https://www.naukri.com/rural-banking-jobs
